screenEdgeLoop.thisRepN,screenEdgeLoop.thisTrialN,screenEdgeLoop.thisN,screenEdgeLoop.thisIndex,outerLoop.thisRepN,outerLoop.thisTrialN,outerLoop.thisN,outerLoop.thisIndex,midLoop.thisRepN,midLoop.thisTrialN,midLoop.thisN,midLoop.thisIndex,inLoop.thisRepN,inLoop.thisTrialN,inLoop.thisN,inLoop.thisIndex,contAveraging.thisRepN,contAveraging.thisTrialN,contAveraging.thisN,contAveraging.thisIndex,defineEye.thisRepN,defineEye.thisTrialN,defineEye.thisN,defineEye.thisIndex,t1Drift.thisRepN,t1Drift.thisTrialN,t1Drift.thisN,t1Drift.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,decDrift.thisRepN,decDrift.thisTrialN,decDrift.thisN,decDrift.thisIndex,incDrift.thisRepN,incDrift.thisTrialN,incDrift.thisN,incDrift.thisIndex,constDrift.thisRepN,constDrift.thisTrialN,constDrift.thisN,constDrift.thisIndex,warningESC.started,warningESC.stopped,px per cm,instructTop.started,instructTop.stopped,instructBottom.started,instructBottom.stopped,line_R_vert.started,line_R_vert.stopped,line_L_vert.started,line_L_vert.stopped,line_T_horiz.started,line_T_horiz.stopped,line_B_horiz.started,line_B_horiz.stopped,nextPoly.started,nextPoly.stopped,nextMouse.started,nextMouse.stopped,instruct.started,instruct.stopped,screenEdgePx,line.started,line.stopped,moveTri.started,moveTri.stopped,targetTri.started,targetTri.stopped,nextPoly1.started,nextPoly1.stopped,text.started,text.stopped,instructPls.started,instructPls.stopped,tryAgainPoly.started,tryAgainPoly.stopped,tryAgainButton.started,tryAgainButton.stopped,tryAgainMouse.started,tryAgainMouse.stopped,instruct1.started,instruct1.stopped,squareStart.started,squareStart.stopped,dotStart.started,dotStart.stopped,tinyDotStart.started,tinyDotStart.stopped,dumiTrialCount.started,dumiTrialCount.stopped,dumiRestrtPoly.started,dumiRestrtPoly.stopped,dumiRestrtButt.started,dumiRestrtButt.stopped,num_repeat,square_x,square2center_dist,dot2square_dist,dot_dist_list,avg_dot_dist,dist2screen,square.started,square.stopped,dot.started,dot.stopped,tinyDot.started,tinyDot.stopped,trialCounter.started,trialCounter.stopped,restartPoly.started,restartPoly.stopped,restartText.started,restartText.stopped,restartMouse.started,restartMouse.stopped,instructOops.started,instructOops.stopped,tryAgainPoly1.started,tryAgainPoly1.stopped,tryAgainButton1.started,tryAgainButton1.stopped,tryAgainMouse1.started,tryAgainMouse1.stopped,instruct2.started,instruct2.stopped,key_resp_const_trial1.keys,key_resp_const_trial1.started,key_resp_const_trial1.stopped,radialEye_stim_const_trial1.started,radialEye_stim_const_trial1.stopped,bullseye_stim_const_trial1.started,bullseye_stim_const_trial1.stopped,Instruction_4.started,Instruction_4.stopped,tallResp.started,tallResp.stopped,wideResp.started,wideResp.stopped,gradDecResp.keys,gradDecResp.started,gradDecResp.stopped,Instruction.started,Instruction.stopped,gradIncResp.keys,gradIncResp.started,gradIncResp.stopped,Instruction_3.started,Instruction_3.stopped,constResp.keys,constResp.started,constResp.stopped,Instruction_5.started,Instruction_5.stopped,corrAns,allKeyResp,bullsContrast,radialContrast,allKeyRT,whichTrial,tall_wide,totalTrialCount,respList,resp,rt,thisInd,currSize,gradDecResp.rt,gradIncResp.rt,participant,session,which eye is blue,eye tested,previous contrast,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,46.72897196261682,20.26446426199982,None,20.26446426199982,None,20.26446426199982,None,20.26446426199982,None,20.26446426199982,None,20.26446426199982,None,20.26446426199982,None,0.012364324706140906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.7903549449984,None,-682,26.7903549449984,None,26.7903549449984,None,26.7903549449984,None,26.7903549449984,None,26.7903549449984,None,41.112972143810474,None,41.112972143810474,None,41.112972143810474,None,0.0062725727912038565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.136102516029496,None,41.136102516029496,None,41.136102516029496,None,41.136102516029496,None,41.136102516029496,None,41.136102516029496,None,41.136102516029496,None,3,420.56074766355135,9,6,[438.3738317757009],146.1246105919003,11.779444444444447,42.17941558198072,None,42.17941558198072,None,42.17941558198072,None,42.17941558198072,None,42.17941558198072,None,42.17941558198072,None,0.009171065816190094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,420.56074766355135,9,6,"[438.3738317757009, 460.3738317757009]",299.58255451713393,25.46277777777778,44.86167648999253,None,44.86167648999253,None,44.86167648999253,None,44.86167648999253,None,44.86167648999253,None,44.86167648999253,None,0.010040723835118115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,420.56074766355135,9,6,"[438.3738317757009, 460.3738317757009, 489.3738317757009]",462.7071651090343,40.008055555555565,47.859110767021775,None,47.859110767021775,None,47.859110767021775,None,47.859110767021775,None,47.859110767021775,None,47.859110767021775,None,0.010139435762539506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.33408853080473,None,51.33408853080473,None,51.33408853080473,None,0.011600080819334835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.34006169100758,None,None,54.16235136502655,None,54.16235136502655,None,54.16235136502655,None,54.16235136502655,None,54.16235136502655,None,54.16235136502655,None,None,55.179288560000714,None,55.179288560000714,None,None,56.188632101984695,None,56.188632101984695,None,None,57.211837246024515,None,57.211837246024515,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.45074606642209714,1,['noChange'],none,0,0,54.49520365085224,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,58.23512281902367,None,58.23512281902367,None,None,59.235761529009324,None,59.235761529009324,None,None,60.25040530401748,None,60.25040530401748,None,right,"[[], [], [], [], [], [], 'right', [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], 0.049813719000667334, [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.4069443432521833,2,['noChange'],right,0.049813719000667334,0,54.49520365085224,0.049813719000667334,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,61.26442856201902,None,61.26442856201902,None,None,62.27328653802397,None,62.27328653802397,None,None,63.298588578996714,None,63.298588578996714,None,right,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",0.7,0.5,"[[], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",wide trial,0.36089712549634434,3,['noChange'],none,0,0,54.49520365085224,,,,1,right,right,.7,2022_Jan_04_1618,eyeDomExp,2021.2.3,60.0416919892596,
